initial_lat,initial_lon,windage_coefficient,terminal_lat,terminal_lon,synthetic_bfo,satellite_probability_weight,barnacle_survival_probability,fused_drift_sat_barnacle_weight,acoustic_waveguide_probability,final_joint_probability
-32.03150522162661,92.13054641768224,0.0095492734198246,-32.0353031558158,92.1291955215964,179.5129621288983,0.9974869927111012,0.7922033060299555,0.7929759997161359,0.47744900674105545,0.378654795853349
-32.93085039636196,94.53855267466236,0.0112677392532844,-32.79424607094596,94.57650559971871,179.53315596713506,0.995611649364732,0.9621527601067976,0.9612805409438164,0.3978149778909444,0.382461484102636
-31.01463608602604,94.84867830361272,0.0075770488330656,-30.986189623549347,94.7910565434659,179.52221199001437,0.996630275026026,0.216780793181712,0.2168058658731005,0.3189740794713695,0.06916443689399102
-30.359832405463585,92.08006361276831,0.0101975136822123,-30.215976233546776,91.92056283736407,179.49923309763906,0.9987514064602832,0.0387889191082896,0.0388759695333875,0.3976078958499613,0.015459400832190948
-32.20555879729114,93.44760962615072,0.0133877017831794,-32.15597629554999,93.3048491901219,179.52084367230526,0.9967572522490874,0.8375268735868873,0.8377304600178672,0.42394418508046533,0.3551971021345791
-32.79130847808633,94.87671476379512,0.013650122947955,-32.70923001198831,94.78527718769644,179.53387828272355,0.995544228630615,0.9536057603099096,0.9526767716049988,0.38440845372132687,0.36626458743132406
-33.757251013039266,90.91987230675656,0.0092953246872094,-33.740652849899526,90.83391406423306,179.51792078769358,0.9970282062819787,0.9963217462354448,0.9968348340813752,0.7168224425535529,0.7146464229002808
-30.797666937538946,93.42264687764944,0.0100068587611726,-30.671848590015586,93.35012798660514,179.5109926045281,0.9976689080444922,0.112009383692477,0.1121390821004431,0.3586616829356939,0.04022521771309545
-32.26186118289553,90.4463847682318,0.0120635186489771,-32.2881646657472,90.41010114053404,179.50494855247663,0.9982260672979806,0.8776553231108026,0.8791622855775122,0.605950807572928,0.5327983146969507
-34.873798030359545,90.42503127656668,0.010810973388102,-34.82156315965016,90.46724071492498,179.52408675580222,0.996456162838514,0.9997525137210392,0.9996934664428866,0.9060431736736636,0.9058831276030108
-31.463428605713723,93.28705475477952,0.0097883975848804,-31.338913427579016,93.18699330120856,179.51449145378024,0.9973456150176824,0.4006598634530707,0.4009938137891366,0.39067475764552667,0.1566785156942832
-33.220351635430845,93.76782507449862,0.0112770361567516,-33.13666587325088,93.73598006088724,179.53037033642218,0.9958714389580648,0.9835632890867568,0.9829280737648683,0.45870613765654566,0.45093372274808535
-31.10943250308037,90.77303023565534,0.0106960789739772,-31.15669886631856,90.67092734065056,179.4983938086017,0.9988284248580236,0.2977045078668657,0.2983956277877379,0.5058650479114988,0.15096753128756235
-32.588197950162126,92.1183792705634,0.0095153785830688,-32.56688274245686,92.00891849182848,179.51602365718423,0.9972038648207726,0.9350636386861656,0.935710006033502,0.5196254634350161,0.48628192017582794
-33.44241229156347,92.15890882091416,0.013465628314835,-33.43598233184159,92.0991345810282,179.52281456247863,0.9965743305984076,0.9921546331627366,0.9922136853307464,0.5829869289234301,0.5785227672400169
-32.282555176780264,92.1449666030488,0.0137215855124735,-32.23871074520985,92.1098351181124,179.514282245583,0.9973649614330352,0.8637482254612227,0.8644849292109867,0.49131023924459005,0.42478548281841605
-34.760097325895416,94.13571530852072,0.0130195551549923,-34.7100499890774,94.16182637129636,179.54432955393136,0.9945660799829512,0.999672967844924,0.9977178527503384,0.5546627857296345,0.5534688667287551
-30.61547370404282,92.91048806411558,0.0134596152429894,-30.485369839029143,92.77639516380768,179.50620930475256,0.9981099843776652,0.0733335547263975,0.0734509282587824,0.37367173638471646,0.027450102043953376
