particle_id,leeway_class,terminal_lat,terminal_lon,synthetic_bfo,satellite_probability_weight
low_windage_0,low_windage,-35.207347192532296,93.79346763787969,179.5458072991859,0.9997472514974878
low_windage_1,low_windage,-35.236854018394986,93.72838230859472,179.5456418432056,0.9997628691189981
low_windage_2,low_windage,-35.19567977141251,93.76427199424782,179.54554692613064,0.9997718279164995
low_windage_3,low_windage,-35.22800423176287,93.74916998389138,179.54569884906965,0.9997574883953103
low_windage_4,low_windage,-35.1936174322292,93.7355608766113,179.54536127424157,0.9997893495904557
low_windage_5,low_windage,-35.17875912590549,93.67830277684467,179.54491115165652,0.9998318253305851
low_windage_6,low_windage,-35.20918861365838,93.73607384446886,179.5454806337266,0.9997780847182282
low_windage_7,low_windage,-35.18053282391817,93.74007829018548,179.54529034503423,0.9997960434202652
low_windage_8,low_windage,-35.16505931645226,93.72947613471848,179.5451119712638,0.9998128761536049
low_windage_9,low_windage,-35.2275508478954,93.73433464876658,179.54560755217844,0.9997661057423791
low_windage_10,low_windage,-35.21119620053837,93.6857471269837,179.5451976237626,0.9998047934984171
low_windage_11,low_windage,-35.17544403291918,93.731192063695,179.5451996682607,0.9998046005639406
low_windage_12,low_windage,-35.20455808901107,93.75124813297724,179.54553598966632,0.9997728601342342
low_windage_13,low_windage,-35.1872415493026,93.673536693182,179.54494632783383,0.9998285062663166
low_windage_14,low_windage,-35.20961286131848,93.7146166482293,179.54535668691278,0.999789782519101
low_windage_15,low_windage,-35.24064209414715,93.67636617619976,179.5453623589206,0.9997892472238527
low_windage_16,low_windage,-35.16700265650522,93.75410683238108,179.54527255304106,0.9997977224753453
low_windage_17,low_windage,-35.222684058395345,93.72385856609009,179.54550911798475,0.9997753963447098
low_windage_18,low_windage,-35.205885435683314,93.704607900494,179.54526956286273,0.9997980046612195
low_windage_19,low_windage,-35.18810223257031,93.74204028037994,179.54535849692795,0.9997896116992345
low_windage_20,low_windage,-35.22106895244118,93.68361331057694,179.54525881703688,0.9997990187513369
low_windage_21,low_windage,-35.22562861820469,93.76321737468248,179.54576437262546,0.999751303514357
low_windage_22,low_windage,-35.19919371776554,93.68153060096807,179.54508295373563,0.9998156143368627
low_windage_23,low_windage,-35.20179464450115,93.72609773290564,179.5453662775009,0.999788877407328
low_windage_24,low_windage,-35.19533597214158,93.70346926673244,179.5451839883379,0.9998060802365407
low_windage_25,low_windage,-35.2149584592122,93.73316596296732,179.5455065155695,0.9997756419648517
low_windage_26,low_windage,-35.21246477233865,93.74952142097142,179.54558481685706,0.999768251629364
low_windage_27,low_windage,-35.17933939819888,93.73007985633274,179.54522215986438,0.999802478071748
low_windage_28,low_windage,-35.23322224042944,93.69669165167028,179.5454270820954,0.9997831388769456
low_windage_29,low_windage,-35.179034226035164,93.76471803177118,179.54542530735154,0.999783306373587
low_windage_30,low_windage,-35.17954768349626,93.74122270877214,179.54528977555853,0.9997960971626989
low_windage_31,low_windage,-35.2306903764981,93.77528140474796,179.5458737390271,0.9997409798000327
low_windage_32,low_windage,-35.17189228887132,93.7447650573562,179.5452536335461,0.9997995079186474
low_windage_33,low_windage,-35.205470861907976,93.71575997997566,179.54533250550642,0.9997920646209331
low_windage_34,low_windage,-35.23151611765102,93.72466507455589,179.5455799190935,0.9997687139046664
low_windage_35,low_windage,-35.20612676880401,93.727049637079,179.5454042843166,0.9997852904731714
low_windage_36,low_windage,-35.20754912871154,93.76111504828688,179.5456168408771,0.9997652290162516
low_windage_37,low_windage,-35.162966001846534,93.74289676703953,179.54517593023132,0.9998068406543007
low_windage_38,low_windage,-35.158701187089235,93.7481806256605,179.54517544747318,0.9998068862105501
low_windage_39,low_windage,-35.195375849285185,93.7230154666427,179.54530006287416,0.9997951263281918
low_windage_40,low_windage,-35.22418628974134,93.72472454235717,179.54552547609953,0.9997738524324837
low_windage_41,low_windage,-35.18743106220458,93.68430970266628,179.54501149657597,0.9998223570922121
low_windage_42,low_windage,-35.217730640034794,93.77613046655766,179.5457819560475,0.99974964375196
low_windage_43,low_windage,-35.21325021360846,93.74808465137676,179.5455821676561,0.9997685016742708
low_windage_44,low_windage,-35.20596304957146,93.74599763007843,179.5455153558686,0.9997748076019399
low_windage_45,low_windage,-35.21862684756352,93.76626470614968,179.54573013106875,0.9997545356578814
low_windage_46,low_windage,-35.23058509522427,93.6986569341672,179.54541898945655,0.9997839026422491
low_windage_47,low_windage,-35.205941224434106,93.7169104203916,179.5453428342661,0.9997910898553252
low_windage_48,low_windage,-35.22319024015447,93.77050323823556,179.54578936162414,0.999748944708789
low_windage_49,low_windage,-35.24506834671367,93.74662784449325,179.54581134251654,0.9997468698263757
low_windage_50,low_windage,-35.21165321678735,93.76431379365351,179.54566646690742,0.9997605449316269
low_windage_51,low_windage,-35.2151935951782,93.72403981646376,179.5454542065666,0.9997805789079456
low_windage_52,low_windage,-35.162603886286405,93.7364667594424,179.5451350938632,0.9998106942067392
low_windage_53,low_windage,-35.21049727115035,93.75368390726688,179.54559479653568,0.9997673096942683
low_windage_54,low_windage,-35.193630302782545,93.7136508184659,179.54523154485216,0.9998015924205731
low_windage_55,low_windage,-35.19788018323569,93.70614004299914,179.5452188137778,0.9998027938373673
low_windage_56,low_windage,-35.20987721853026,93.76258595268686,179.54564295354731,0.9997627643164103
low_windage_57,low_windage,-35.16581988843536,93.67841151211935,179.5448151406459,0.9998408842088543
low_windage_58,low_windage,-35.162934480928925,93.75764643581704,179.5452631969401,0.9997986054178362
low_windage_59,low_windage,-35.21371560552025,93.75762866922946,179.54564222856823,0.999762832745517
low_windage_60,low_windage,-35.20014751359279,93.76579695460066,179.54558933375608,0.9997678253009904
low_windage_61,low_windage,-35.22395994998803,93.73967568338098,179.54561235807205,0.9997656521322312
low_windage_62,low_windage,-35.22577071764099,93.70208134044712,179.54540325536084,0.9997853875828375
low_windage_63,low_windage,-35.209110445879695,93.7674403824686,179.54566601913646,0.9997605871961748
low_windage_64,low_windage,-35.23334527104695,93.78721410789784,179.5459643631349,0.9997324248678119
low_windage_65,low_windage,-35.200085971359634,93.73510610964004,179.54540689505083,0.9997850440799214
