latitude,longitude,acoustic_probability,timing_delta_sec
-30.0,94.5,6.801043234748257e-50,376.1850917972638
-30.053691275167786,94.47248322147651,3.594258241473316e-50,377.24315270529405
-30.107382550335572,94.44496644295302,1.8999057405553623e-50,378.29791562833543
-30.161073825503355,94.41744966442953,1.0538723344042365e-50,379.2703246560641
-30.21476510067114,94.38993288590603,5.574088053589948e-51,380.3184701939972
-30.268456375838927,94.36241610738256,3.094777671978178e-51,381.2842176017107
-30.322147651006713,94.33489932885907,1.7192108697436988e-51,382.2466061880259
-30.375838926174495,94.30738255033557,9.103152323414386e-52,383.28482241178517
-30.42953020134228,94.27986577181208,5.062063096480891e-52,384.2405670750286
-30.483221476510067,94.25234899328859,2.6823710612238463e-52,385.27218253458204
-30.536912751677853,94.2248322147651,1.4218423962173875e-52,386.3005166689027
-30.59060402684564,94.19731543624161,7.918890378009936e-53,387.2463021715962
-30.644295302013422,94.16979865771812,4.201097030845484e-53,388.2680521232737
-30.697986577181208,94.14228187919463,2.34248751021577e-53,389.20720144510824
-30.751677852348994,94.11476510067114,1.2438423002954045e-53,390.2223800454276
-30.80536912751678,94.08724832214766,6.607305084447357e-54,391.2342954575861
-30.859060402684563,94.05973154362417,3.6906355080282154e-54,392.1635442549082
-30.91275167785235,94.03221476510068,1.962263066355778e-54,393.1690103963115
-30.966442953020135,94.00469798657718,1.0974163358009775e-54,394.09173486358713
-31.02013422818792,93.9771812080537,5.840812090854649e-55,395.09067040181844
-31.073825503355703,93.9496644295302,3.1100921017948178e-55,396.0863664880976
-31.12751677852349,93.92214765100671,1.6568250012480264e-55,397.078828750673
-31.181208053691275,93.89463087248322,8.830564714055597e-56,398.0680630260813
-31.23489932885906,93.86711409395973,4.70883796090015e-56,399.054075357446
-31.288590604026844,93.83959731543624,2.3016377144290775e-56,400.1736252684059
-31.34228187919463,93.81208053691276,1.2282386913584296e-56,401.1533123737722
-31.395973154362416,93.78456375838927,6.557773603423894e-57,402.12979736807665
-31.449664429530202,93.75704697986578,3.503180377966118e-57,403.10308710264417
-31.503355704697988,93.72953020134229,1.8724296902901796e-57,404.0731886266599
-31.55704697986577,93.7020134228188,1.0013591844237535e-57,405.04010918533095
-31.610738255033556,93.6744966442953,5.358212241905436e-58,406.0038562180871
-31.664429530201343,93.64697986577181,3.0223081450378978e-58,406.8843732679925
-31.71812080536913,93.61946308724832,1.6193424825596523e-58,407.8417511758744
-31.77181208053691,93.59194630872483,8.681540079087916e-59,408.79597837009214
-31.825503355704697,93.56442953020134,4.6571140068405856e-59,409.74706304957317
-31.879194630872483,93.53691275167786,2.2832977540701523e-59,410.83284268867055
-31.93288590604027,93.50939597315437,1.226020257003061e-59,411.77777247932863
-31.986577181208055,93.48187919463088,6.587278544033277e-60,412.71958592357896
-32.04026845637584,93.45436241610739,3.54153263979393e-60,413.65829194683465
-32.09395973154363,93.4268456375839,1.9052710408006516e-60,414.5938996514378
-32.147651006711406,93.3993288590604,1.0256659672098071e-60,415.5264183146551
-32.20134228187919,93.37181208053691,5.5251243353877e-61,416.4558573866857
-32.25503355704698,93.34429530201342,2.9782988498427253e-61,417.38222648861847
-32.308724832214764,93.31677852348993,1.6065257187666362e-61,418.30553541042127
-32.36241610738255,93.28926174496644,8.671680563916234e-62,419.22579410884555
-32.41610738255034,93.26174496644296,4.684011334048122e-62,420.14301270543774
-32.46979865771812,93.23422818791947,2.305532478308863e-62,421.19615992098716
-32.52348993288591,93.20671140939598,1.2467294069237335e-62,422.1074391042662
-32.57718120805369,93.17919463087249,6.746528984724792e-63,423.0157099778985
-32.630872483221474,93.151677852349,3.6534093221987556e-63,423.9209833007171
-32.68456375838926,93.1241610738255,1.9798325718090995e-63,424.8232699858645
-32.738255033557046,93.09664429530201,1.073675718863285e-63,425.72258109870427
-32.79194630872483,93.06912751677852,5.8268600391726346e-64,426.6189278546917
-32.84563758389262,93.04161073825503,3.164572084081806e-64,427.5123216172624
-32.899328859060404,93.01409395973154,1.719952383454247e-64,428.40277389568655
-32.95302013422819,92.98657718120806,9.354936924260412e-65,429.2902963429474
-33.006711409395976,92.95906040268457,5.092021250148685e-65,430.17490075358364
-33.060402684563755,92.93154362416108,2.773743270111339e-65,431.056599061581
-33.11409395973154,92.90402684563759,1.4519052421306907e-65,431.9941469374621
-33.16778523489933,92.8765100671141,7.919926574528264e-66,432.87012226925026
-33.22147651006711,92.8489932885906,4.3235027774190193e-66,433.7432279525933
-33.2751677852349,92.82147651006711,2.3620195679155245e-66,434.61347645838896
-33.328859060402685,92.79395973154362,1.2914148393757192e-66,435.48088038618516
-33.38255033557047,92.76644295302013,7.066166577376399e-67,436.34545246204834
-33.43624161073826,92.73892617449664,3.869358659460586e-67,437.2072055364056
-33.48993288590604,92.71140939597316,2.1204705048126277e-67,438.0661525818746
-33.54362416107382,92.68389261744967,1.1629596541716785e-67,438.9223066911077
-33.59731543624161,92.65637583892618,6.383181187790995e-68,439.77568107464094
-33.651006711409394,92.62885906040269,3.5063129222015137e-68,440.62628905874044
-33.70469798657718,92.6013422818792,1.9275512373160495e-68,441.4741440832463
-33.758389261744966,92.5738255033557,1.0604828494614992e-68,442.3192596994113
-33.81208053691275,92.54630872483222,5.839080282031348e-69,443.1616495677745
