particle_id,terminal_lat,terminal_lon,distance_delta
0,-32.95703823125511,93.17014358562044,0.18358800378586285
1,-32.914172923278,93.17418883338496,0.19156490361626288
2,-32.939941528462015,93.1601994780851,0.17408992638958343
3,-32.96694281880102,93.16677519805404,0.18071387381696025
4,-32.960540035264195,93.21405941439652,0.2275843521189302
5,-32.94413406130257,93.15870479794152,0.17233301002269158
6,-32.987383261235074,93.17092019436,0.18749971387195913
7,-32.95161655996604,93.21002006407384,0.22342434723433902
8,-32.95553952119192,93.14672775802924,0.16014789433319893
9,-32.930497601115896,93.16694144479604,0.18173990939434126
10,-32.94686325278933,93.18813040387288,0.20162381642924496
11,-32.984010881505,93.17219442777332,0.18816738929002733
12,-32.964224738587,93.15037174343588,0.16415595847966227
13,-32.930328990695344,93.2024764694718,0.21706364212945636
14,-32.93099101335615,93.18049746820849,0.19514257267636886
15,-32.93167182130806,93.24573357505118,0.2600098092863445
16,-32.937665234969295,93.16175974866152,0.17582972606961758
17,-32.94024160638263,93.1509396116274,0.16483411223875888
18,-32.95464541450028,93.19806311255591,0.21146951402203293
19,-32.95714797573346,93.17668765552416,0.19013290742362196
20,-32.945432693043934,93.17629514636944,0.18984602363676864
21,-32.96786276889498,93.20823164609016,0.22212944074989083
22,-32.9765079550101,93.19739703978792,0.21210378575618735
23,-32.9600924394205,93.17406606405756,0.18760018089054856
24,-32.94757371652177,93.18611976862285,0.19959354354212344
25,-32.96555539968375,93.17381862219538,0.18763914985407007
26,-32.92713040541329,93.17160160372649,0.18680157736340067
27,-32.96614162871932,93.2371142998654,0.2508587587517095
28,-32.946196447741656,93.20288976212098,0.2163967410144661
29,-32.98468039550507,93.18213123518184,0.19808107277348883
30,-32.94841885715751,93.16246169724464,0.17592135580283982
31,-32.929343719511685,93.1491029993868,0.16421584703142728
32,-32.92977764611545,93.22010506174009,0.23465696575678846
33,-32.93155196851976,93.18289329583308,0.19746158118325974
34,-32.97522981848356,93.1834573864888,0.19810854460374333
35,-32.932012275995405,93.2069223578618,0.22131973688010265
36,-32.965884478776395,93.1852446261987,0.19906204387316154
37,-32.94581011874081,93.15314647660112,0.1667015994547473
38,-32.93203300721604,93.1966084875719,0.2110525518410962
39,-32.93609482863685,93.18585854648758,0.1999743812771089
40,-32.94361763402467,93.18689530645246,0.20051493355403766
41,-32.955153130909565,93.17307717345942,0.18648960344783133
42,-32.95365417875252,93.17526628586248,0.18866742000404815
43,-32.935304526872,93.14585099306132,0.16023110983900882
44,-32.97889085330873,93.17483724674524,0.19000946646755343
45,-32.93499015216011,93.21120502404504,0.2253259227108419
46,-32.987240667522215,93.19857198798296,0.21471969402413033
47,-32.94255967408092,93.17312354281049,0.1868155037138882
48,-32.94701483847181,93.13104642555405,0.14457037045626106
49,-32.95665590845525,93.1862176460434,0.19965112140567634
