Boundary Parameter,Latitude (Decimal),Longitude (Decimal),Glide Distance Max (km)
North Bound,-43.3322,104.0000,185.32
East Bound,-44.9758,106.3497,185.32
South Bound,-46.6673,104.0000,185.32
West Bound,-44.9758,101.6503,185.32
