latitude,longitude,bfo_error_hz
-30.0,94.5,153.77700837613452
-30.053691275167786,94.47248322147651,153.8242819957252
-30.107382550335572,94.44496644295302,153.87156241358542
-30.161073825503355,94.41744966442953,153.91884960579927
-30.21476510067114,94.38993288590603,153.96614354846542
-30.268456375838927,94.36241610738256,154.0134442176976
-30.322147651006713,94.33489932885907,154.06075158962454
-30.375838926174495,94.30738255033557,154.10806564038944
-30.42953020134228,94.27986577181208,154.15538634615055
-30.483221476510067,94.25234899328859,154.2027136830809
-30.536912751677853,94.2248322147651,154.25004762736808
-30.59060402684564,94.19731543624161,154.29738815521443
-30.644295302013422,94.16979865771812,154.34473524283703
-30.697986577181208,94.14228187919463,154.39208886646747
-30.751677852348994,94.11476510067114,154.43944900235192
-30.80536912751678,94.08724832214766,154.4868156267514
-30.859060402684563,94.05973154362417,154.5341887159411
-30.91275167785235,94.03221476510068,154.58156824621088
-30.966442953020135,94.00469798657718,154.6289541938651
-31.02013422818792,93.9771812080537,154.67634653522248
-31.073825503355703,93.9496644295302,154.72374524661615
-31.12751677852349,93.92214765100671,154.7711503043937
-31.181208053691275,93.89463087248322,154.818561684917
-31.23489932885906,93.86711409395973,154.86597936456224
-31.288590604026844,93.83959731543624,154.91340331971986
-31.34228187919463,93.81208053691276,154.96083352679457
-31.395973154362416,93.78456375838927,155.00826996220536
-31.449664429530202,93.75704697986578,155.05571260238537
-31.503355704697988,93.72953020134229,155.10316142378173
-31.55704697986577,93.7020134228188,155.15061640285592
-31.610738255033556,93.6744966442953,155.1980775160834
-31.664429530201343,93.64697986577181,155.24554473995371
-31.71812080536913,93.61946308724832,155.29301805097043
-31.77181208053691,93.59194630872483,155.3404974256511
-31.825503355704697,93.56442953020134,155.3879828405272
-31.879194630872483,93.53691275167786,155.43547427214418
-31.93288590604027,93.50939597315437,155.48297169706143
-31.986577181208055,93.48187919463088,155.53047509185205
-32.04026845637584,93.45436241610739,155.5779844331032
-32.09395973154363,93.4268456375839,155.62549969741565
-32.147651006711406,93.3993288590604,155.67302086140404
-32.20134228187919,93.37181208053691,155.7205479016967
-32.25503355704698,93.34429530201342,155.76808079493566
-32.308724832214764,93.31677852348993,155.81561951777667
-32.36241610738255,93.28926174496644,155.86316404688915
-32.41610738255034,93.26174496644296,155.91071435895597
-32.46979865771812,93.23422818791947,155.9582704306738
-32.52348993288591,93.20671140939598,156.00583223875265
-32.57718120805369,93.17919463087249,156.0533997599162
-32.630872483221474,93.151677852349,156.10097297090155
-32.68456375838926,93.1241610738255,156.14855184845925
-32.738255033557046,93.09664429530201,156.1961363693532
-32.79194630872483,93.06912751677852,156.24372651036086
-32.84563758389262,93.04161073825503,156.29132224827293
-32.899328859060404,93.01409395973154,156.33892355989337
-32.95302013422819,92.98657718120806,156.38653042203953
-33.006711409395976,92.95906040268457,156.43414281154207
-33.060402684563755,92.93154362416108,156.4817607052447
-33.11409395973154,92.90402684563759,156.5293840800045
-33.16778523489933,92.8765100671141,156.57701291269163
-33.22147651006711,92.8489932885906,156.6246471801893
-33.2751677852349,92.82147651006711,156.67228685939403
-33.328859060402685,92.79395973154362,156.71993192721519
-33.38255033557047,92.76644295302013,156.76758236057532
-33.43624161073826,92.73892617449664,156.81523813640996
-33.48993288590604,92.71140939597316,156.86289923166748
-33.54362416107382,92.68389261744967,156.9105656233094
-33.59731543624161,92.65637583892618,156.95823728830993
-33.651006711409394,92.62885906040269,157.00591420365632
-33.70469798657718,92.6013422818792,157.05359634634857
-33.758389261744966,92.5738255033557,157.10128369339952
-33.81208053691275,92.54630872483222,157.14897622183486
-33.86577181208054,92.51879194630872,157.1966739086929
-33.919463087248324,92.49127516778523,157.24437673102463
-33.97315436241611,92.46375838926174,157.29208466589398
-34.02684563758389,92.43624161073826,157.33979769037717
-34.080536912751676,92.40872483221477,157.38751578156337
-34.13422818791946,92.38120805369128,157.4352389165541
-34.18791946308725,92.35369127516779,157.4829670724636
-34.241610738255034,92.3261744966443,157.53070022641845
-34.29530201342282,92.29865771812081,157.57843835555786
-34.348993288590606,92.27114093959732,157.62618143703347
-34.40268456375839,92.24362416107383,157.67392944800923
-34.45637583892618,92.21610738255033,157.72168236566174
-34.51006711409396,92.18859060402684,157.76944016717965
-34.56375838926174,92.16107382550337,157.81720282976414
-34.61744966442953,92.13355704697987,157.86497033062864
-34.671140939597315,92.10604026845638,157.91274264699874
-34.7248322147651,92.07852348993289,157.96051975611243
-34.77852348993289,92.0510067114094,158.0083016352198
-34.83221476510067,92.02348993288591,158.05608826158306
-34.88590604026846,91.99597315436242,158.10387961247665
-34.939597315436245,91.96845637583893,158.15167566518704
-34.993288590604024,91.94093959731543,158.1994763970128
-35.04697986577181,91.91342281879194,158.24728178526456
-35.100671140939596,91.88590604026847,158.2950918072649
-35.15436241610738,91.85838926174497,158.34290644034837
-35.20805369127517,91.83087248322148,158.39072566186147
-35.261744966442954,91.80335570469799,158.43854944916265
-35.31543624161074,91.7758389261745,158.48637777962216
-35.369127516778526,91.74832214765101,158.53421063062214
-35.42281879194631,91.72080536912752,158.5820479795566
-35.47651006711409,91.69328859060403,158.62988980383105
-35.53020134228188,91.66577181208054,158.6777360808631
-35.58389261744966,91.63825503355704,158.72558678808178
-35.63758389261745,91.61073825503357,158.77344190292808
-35.691275167785236,91.58322147651008,158.82130140285437
-35.74496644295302,91.55570469798658,158.86916526532482
-35.79865771812081,91.5281879194631,158.91703346781497
-35.85234899328859,91.5006711409396,158.96490598781213
-35.90604026845637,91.47315436241611,159.01278280281502
-35.95973154362416,91.44563758389262,159.06066389033379
-36.013422818791945,91.41812080536913,159.10854922789017
-36.06711409395973,91.39060402684564,159.15643879301714
-36.12080536912752,91.36308724832215,159.20433256325927
-36.1744966442953,91.33557046979867,159.2522305161723
-36.22818791946309,91.30805369127518,159.30013262932331
-36.281879194630875,91.28053691275169,159.3480388802908
-36.335570469798654,91.2530201342282,159.39594924666434
-36.38926174496644,91.2255033557047,159.44386370604485
-36.442953020134226,91.19798657718121,159.49178223604434
-36.49664429530201,91.17046979865772,159.5397048142861
-36.5503355704698,91.14295302013423,159.58763141840438
-36.604026845637584,91.11543624161074,159.63556202604468
-36.65771812080537,91.08791946308725,159.6834966148634
-36.711409395973156,91.06040268456377,159.73143516252804
-36.76510067114094,91.03288590604028,159.77937764671714
-36.81879194630872,91.00536912751679,159.82732404512004
-36.87248322147651,90.9778523489933,159.87527433543718
-36.92617449664429,90.9503355704698,159.9232284953798
-36.97986577181208,90.92281879194631,159.97118650266995
-37.033557046979865,90.89530201342282,160.0191483350406
-37.08724832214765,90.86778523489933,160.06711397023543
-37.14093959731544,90.84026845637584,160.1150833860089
-37.19463087248322,90.81275167785235,160.16305656012622
-37.24832214765101,90.78523489932887,160.2110334703633
-37.30201342281879,90.75771812080538,160.25901409450665
-37.355704697986575,90.73020134228189,160.3069984103534
-37.40939597315436,90.7026845637584,160.35498639571136
-37.46308724832215,90.6751677852349,160.40297802839876
-37.51677852348993,90.64765100671141,160.4509732862445
-37.57046979865772,90.62013422818792,160.4989721470879
-37.624161073825505,90.59261744966443,160.54697458877868
-37.67785234899329,90.56510067114094,160.5949805891771
-37.73154362416108,90.53758389261745,160.64299012615373
-37.785234899328856,90.51006711409397,160.6910031775895
-37.83892617449664,90.48255033557048,160.73901972137568
-37.89261744966443,90.45503355704699,160.78703973541388
-37.946308724832214,90.4275167785235,160.83506319761585
-38.0,90.4,160.8830900859037
